ID;Área;Equipamento;QT_UN_APREENDIDAS;QT_UN_LACRADAS;QT_UN_RETIDAS;Valor Estimado;QT_UN_RETIRADAS;Mês;Data;DT_EXTRACAO;Ano
43888;4-Aduana;SmartTV Box;20000;;;;20000;dez;03/12/2020;28/12/2021;2020
71417;4-Aduana;Equipamento de Rede de Dados;;;500;19950,00;500;jun;25/06/2021;28/12/2021;2021
75155;4-Aduana;Equipamento óptico;;;200;70200,00;200;out;04/10/2021;28/12/2021;2021
49327;2-Provedores de SCM;Cabo Metálico;;35;;6996,50;35;abr;28/04/2021;28/12/2021;2021
54698;1-Comércio;Cabo Metálico;;172;;;172;mai;21/05/2021;28/12/2021;2021
49327;2-Provedores de SCM;Cabo Metálico;;172;;25284,00;172;abr;28/04/2021;28/12/2021;2021
39946;;Celular e acessórios;0;3;;1000,00;3;nov;13/11/2020;28/12/2021;2020
17670;2-Provedores de SCM;Outros;;1;;;1;mar;10/03/2020;28/12/2021;2020
36654;;Celular e acessórios;;7;;;7;fev;17/02/2020;28/12/2021;2020
42331;1-Comércio;Equipamento de Radiação Restrita;;;7;280000,00;7;jan;27/01/2021;28/12/2021;2021
17670;2-Provedores de SCM;Equipamento de Rede de Dados;;4;;;4;mar;10/03/2020;28/12/2021;2020
42331;1-Comércio;Equipamento de Radiação Restrita;;;3;45000,00;3;jan;27/01/2021;28/12/2021;2021
37056;;Outros;;398;;40000,00;398;mar;05/03/2020;28/12/2021;2020
49396;1-Comércio;;;;3711;63000,00;3711;mar;05/03/2021;28/12/2021;2021
42331;1-Comércio;Equipamento de Radiação Restrita;;;5;750000,00;5;jan;27/01/2021;28/12/2021;2021
49289;1-Comércio;;345;;9758;150000,00;10103;fev;17/02/2021;28/12/2021;2021
42331;1-Comércio;Equipamento de Radiação Restrita;;;1;45000,00;1;jan;27/01/2021;28/12/2021;2021
77013;1-Comércio;Carregadores de Baterias;117600;;;;117600;dez;13/12/2021;28/12/2021;2021
76734;1-Comércio;Equipamento de Radiação Restrita;6045;;;;6045;dez;02/12/2021;28/12/2021;2021
42114;4-Aduana;SmartTV Box;;52000;;;52000;set;22/09/2020;28/12/2021;2020
76734;1-Comércio;Carregadores de Baterias;9270;;;;9270;dez;02/12/2021;28/12/2021;2021
